TeamID,CityID,counter,city,state,teamname,firstd1season,lastd1season,dup
1101,4001,3,Abilene,TX,Abilene Chr,2014,2021,0
1102,4356,7,USAF Academy,CO,Air Force,1985,2021,0
1103,4002,13,Akron,OH,Akron,1985,2021,0
1104,4353,5,Tuscaloosa,AL,Alabama,1985,2021,0
1105,4159,6,Huntsville,AL,Alabama A&M,2000,2021,0
1106,4220,5,Montgomery,AL,Alabama St,1985,2021,0
1107,4003,6,Albany,NY,SUNY Albany,2000,2021,0
1108,4200,2,Lorman,MS,Alcorn St,1985,2021,1
1110,4363,11,Washington,DC,American Univ,1985,2021,0
1111,4036,5,Boone,NC,Appalachian St,1985,2021,0
1112,4350,4,Tucson,AZ,Arizona,1985,2021,0
1113,4343,13,Tempe,AZ,Arizona St,1985,2021,0
1114,4196,2,Little Rock,AR,Ark Little Rock,1985,2021,0
1115,4268,8,Pine Bluff,AR,Ark Pine Bluff,1999,2021,0
1116,4119,9,Fayetteville,AR,Arkansas,1985,2021,0
1117,4172,7,Jonesboro,AR,Arkansas St,1985,2021,0
1119,4367,8,West Point,NY,Army,1985,2021,0
1120,4018,16,Auburn,AL,Auburn,1985,2021,0
1122,4073,12,Clarksville,TN,Austin Peay,1985,2021,0
1123,4227,4,Muncie,IN,Ball St,1985,2021,0
1124,4362,14,Waco,TX,Baylor,1985,2021,0
1125,4233,1,Nashville,TN,Belmont,2000,2021,6
1126,4092,8,Daytona Beach,FL,Bethune-Cookman,1985,2020,0
1127,4360,5,Vestal,NY,Binghamton,2002,2021,0
1129,4035,12,Boise,ID,Boise St,1985,2021,0
1130,4039,8,Boston,MA,Boston College,1985,2021,0
1131,4039,3,Boston,MA,Boston Univ,1985,2021,0
1132,4042,2,Bowling Green,OH,Bowling Green,1985,2021,2
1133,4265,14,Peoria,IL,Bradley,1985,2021,0
1135,4281,9,Providence,RI,Brown,1985,2020,0
1136,4317,8,Smithfield,RI,Bryant,2009,2021,0
1137,4191,9,Lewisburg,PA,Bucknell,1985,2021,0
1138,4049,9,Buffalo,NY,Buffalo,1992,2021,0
1139,4161,3,Indianapolis,IN,Butler,1985,2021,0
1140,4282,1,Provo,UT,BYU,1985,2021,8
1141,4226,9,Mt. Pleasant,MI,C Michigan,1985,2021,0
1142,4308,5,San Luis Obispo,CA,Cal Poly,1995,2021,0
1143,4027,12,Berkeley,CA,California,1985,2021,0
1144,4050,6,Buies Creek,NC,Campbell,1985,2021,0
1145,4049,7,Buffalo,NY,Canisius,1985,2021,0
1146,4081,4,Conway,AR,Cent Arkansas,2007,2021,0
1148,4235,9,New Britain,CT,Central Conn,1987,2021,0
1149,4390,6,North Charleston,SC,Charleston So,1985,2021,0
1150,4066,13,Charlotte,NC,Charlotte,1985,2021,0
1151,4068,8,Chattanooga,TN,Chattanooga,1985,2021,0
1152,4071,11,Chicago,IL,Chicago St,1985,2021,0
1153,4072,13,Cincinnati,OH,Cincinnati,1985,2021,0
1154,4064,11,Charleston,SC,Citadel,1985,2021,0
1155,4074,6,Clemson,SC,Clemson,1985,2021,0
1156,4075,5,Cleveland,OH,Cleveland St,1985,2021,0
1157,4082,7,Conway,SC,Coastal Car,1987,2021,0
1158,4064,9,Charleston,SC,Col Charleston,1992,2021,0
1159,4144,14,Hamilton,NY,Colgate,1985,2021,0
1160,4040,3,Boulder,CO,Colorado,1985,2021,0
1161,4121,11,Fort Collins,CO,Colorado St,1985,2021,0
1162,4239,8,New York,NY,Columbia,1985,2020,0
1163,4460,8,Mansfield,CT,Connecticut,1985,2021,0
1164,4022,6,Baltimore,MD,Coppin St,1986,2021,0
1165,4164,4,Ithaca,NY,Cornell,1985,2020,0
1166,4255,16,Omaha,NE,Creighton,1985,2021,0
1167,4021,6,Bakersfield,CA,CS Bakersfield,2008,2021,0
1168,4127,4,Fullerton,CA,CS Fullerton,1985,2021,0
1169,4249,4,Northridge,CA,CS Northridge,1991,2021,0
1170,4300,4,Sacramento,CA,CS Sacramento,1992,2021,0
1171,4147,6,Hanover,NH,Dartmouth,1985,2020,0
1172,4089,11,Davidson,NC,Davidson,1985,2021,0
1173,4091,17,Dayton,OH,Dayton,1985,2021,0
1174,4240,9,Newark,DE,Delaware,1985,2021,0
1175,4099,2,Dover,DE,Delaware St,1985,2021,0
1176,4096,5,Denver,CO,Denver,1999,2021,0
1177,4071,7,Chicago,IL,DePaul,1985,2021,0
1178,4098,5,Detroit,MI,Detroit,1985,2021,0
1179,4097,2,Des Moines,IA,Drake,1985,2021,0
1180,4266,9,Philadelphia,PA,Drexel,1985,2021,0
1181,4101,2,Durham,NC,Duke,1985,2021,0
1182,4270,4,Pittsburgh,PA,Duquesne,1985,2021,0
1183,4062,9,Charleston,IL,E Illinois,1985,2021,0
1184,4291,8,Richmond,KY,E Kentucky,1985,2021,0
1185,4374,4,Ypsilanti,MI,E Michigan,1985,2021,0
1186,4069,11,Cheney,WA,E Washington,1985,2021,0
1187,4138,7,Greenville,NC,East Carolina,1985,2021,0
1188,4107,10,Edwardsville,IL,SIUE,2009,2021,0
1189,4109,5,Elon,NC,Elon,2000,2021,0
1190,4170,1,Johnson City,TN,ETSU,1985,2021,3
1191,4114,4,Evansville,IN,Evansville,1985,2021,0
1192,4142,5,Hackensack,NJ,F Dickinson,1985,2021,0
1193,4044,4,Bridgeport,CT,Fairfield,1985,2021,0
1194,4033,11,Boca Raton,FL,FL Atlantic,1994,2021,0
1195,4123,4,Fort Myers,FL,FL Gulf Coast,2008,2021,0
1196,4128,4,Gainesville,FL,Florida,1985,2021,0
1197,4341,8,Tallahassee,FL,Florida A&M,1985,2021,0
1198,4214,8,Miami,FL,Florida Intl,1988,2021,0
1199,4341,16,Tallahassee,FL,Florida St,1985,2021,0
1200,4045,12,Bronx,NY,Fordham,1985,2021,0
1201,4126,6,Fresno,CA,Fresno St,1985,2021,0
1202,4139,11,Greenville,SC,Furman,1985,2021,0
1203,4363,7,Washington,DC,G Washington,1985,2021,0
1204,4334,4,Statesboro,GA,Ga Southern,1985,2021,0
1205,4034,5,Boiling Springs,NC,Gardner Webb,2003,2021,0
1206,4115,10,Fairfax,VA,George Mason,1985,2021,0
1207,4363,10,Washington,DC,Georgetown,1985,2021,0
1208,4014,12,Athens,GA,Georgia,1985,2021,0
1209,4016,3,Atlanta,GA,Georgia St,1985,2021,0
1210,4016,9,Atlanta,GA,Georgia Tech,1985,2021,0
1211,4324,17,Spokane,WA,Gonzaga,1985,2021,0
