"away_team","home_team","score","is_neutral","game_ids","date","Home_ABR","Away_ABR","Winner_ABR","Loser_ABR","Home_wins","Attendance","home_fg","away_fg","home_three","away_three","home_ft","away_ft","home_rebound","away_rebound","home_o_rebound","away_o_rebound","home_d_rebound","away_d_rebound","home_assists","away_assists","home_steals","away_steals","home_blocks","away_blocks","home_turnovers","away_turnovers","home_fouls","away_fouls","home_t_fouls","away_t_fouls","home_f_fouls","away_f_fouls","away_is_ranked","home_is_ranked","People"
"North Carolina Central NCCU","Iowa IOWA","IOWA 97, NCCU 67",FALSE,"/mens-college-basketball/game/_/gameId/401263443",20201125,"IOWA","NCCU","IOWA","NCCU",1,4,48.5,42.1,33.3,31.6,79.3,76.5,44,28,20,11,24,17,20,13,9,4,7,2,9,15,16,24,0,0,0,0,FALSE,TRUE,"535"
"Eastern Illinois EIU","Wisconsin WISC","WISC 77, EIU 67",FALSE,"/mens-college-basketball/game/_/gameId/401259032",20201125,"WISC","EIU","WISC","EIU",1,NA,42.1,34.8,30.4,31.6,75.9,100,37,40,8,13,29,27,16,8,6,4,10,4,7,11,15,20,0,0,0,0,FALSE,TRUE,""
"North Carolina A&T NCAT","Illinois ILL","ILL 122, NCAT 60",FALSE,"/mens-college-basketball/game/_/gameId/401262371",20201125,"ILL","NCAT","ILL","NCAT",1,1,58.7,34.4,54.8,26.3,70.8,52.4,62,18,20,5,42,13,31,10,5,9,4,0,15,12,18,21,0,0,0,0,FALSE,TRUE,"132"
"Morehead State MORE","Kentucky UK","UK 81, MORE 45",FALSE,"/mens-college-basketball/game/_/gameId/401258857",20201125,"UK","MORE","UK","MORE",1,15,55.9,34,37.5,14.3,64.3,50,37,25,11,11,26,14,18,7,8,5,6,1,15,20,18,18,0,0,0,0,FALSE,TRUE,"3,075"
"Eastern Michigan EMU","Michigan State MSU","MSU 83, EMU 67",FALSE,"/mens-college-basketball/game/_/gameId/401263445",20201125,"MSU","EMU","MSU","EMU",1,NA,54.5,40.6,42.9,19,68.8,68.8,37,29,8,10,29,19,27,14,2,8,5,3,18,9,15,20,0,0,0,0,FALSE,TRUE,""
"Northwestern State NWST","Texas Tech TTU","TTU 101, NWST 58",FALSE,"/mens-college-basketball/game/_/gameId/401259558",20201125,"TTU","NWST","TTU","NWST",1,22,54.3,34.4,40,21.7,65.4,55,51,32,14,8,37,24,22,8,13,2,2,1,10,19,14,21,0,0,0,0,FALSE,TRUE,"3,345"
"Charleston COFC","North Carolina UNC","UNC 79, COFC 60",FALSE,"/mens-college-basketball/game/_/gameId/401252794",20201125,"UNC","COFC","UNC","COFC",1,NA,39.4,40,22.2,34.8,79.2,40,49,34,17,8,32,26,12,13,10,5,9,3,9,15,16,20,0,0,0,0,FALSE,TRUE,""
"Lamar LAM","Houston HOU","HOU 89, LAM 45",FALSE,"/mens-college-basketball/game/_/gameId/401257055",20201125,"HOU","LAM","HOU","LAM",1,26,41.7,30,39.4,7.7,76.2,63.6,49,34,19,10,30,24,16,8,11,3,8,0,9,22,18,19,0,0,0,0,FALSE,TRUE,"1,859"
"UT Rio Grande Valley RGV","Texas TEX","TEX 91, RGV 55",FALSE,"/mens-college-basketball/game/_/gameId/401254076",20201125,"TEX","RGV","TEX","RGV",1,15,57.4,26.1,41.2,19,64.7,57.7,54,36,10,15,44,21,16,4,5,9,4,1,18,10,24,27,0,0,0,0,FALSE,TRUE,"2,451"
"UCLA UCLA","San Diego State SDSU","SDSU 73, UCLA 58",FALSE,"/mens-college-basketball/game/_/gameId/401262106",20201125,"SDSU","UCLA","SDSU","UCLA",1,NA,46.6,39.5,39.1,33.3,83.3,70.8,34,28,12,7,22,21,16,10,5,1,2,2,10,15,21,18,0,0,0,0,TRUE,FALSE,""
"Illinois State ILST","Ohio State OSU","OSU 94, ILST 67",FALSE,"/mens-college-basketball/game/_/gameId/401263457",20201125,"OSU","ILST","OSU","ILST",1,NA,48.4,38.6,33.3,45,72.2,73.7,43,33,14,8,29,25,17,12,8,2,3,5,10,16,16,26,0,2,0,0,FALSE,TRUE,""
"Sacred Heart SHU","Rutgers RUTG","RUTG 86, SHU 63",FALSE,"/mens-college-basketball/game/_/gameId/401259563",20201125,"RUTG","SHU","RUTG","SHU",1,NA,60.6,37.3,12.5,36,33.3,44.4,46,31,12,11,34,20,23,15,10,6,4,3,9,14,13,13,0,0,0,0,FALSE,TRUE,""
"Bowling Green BGSU","Michigan MICH","MICH 96, BGSU 82",FALSE,"/mens-college-basketball/game/_/gameId/401262142",20201125,"MICH","BGSU","MICH","BGSU",1,NA,54.1,37.1,37,41.4,76.9,81.8,44,34,10,12,34,22,23,12,3,3,3,0,10,6,16,24,0,0,0,0,FALSE,TRUE,""
