trank,team_name,,,,,,,,
1,Duke,,,,,,,,
2,Villanova,,,,,,,,
3,Wisconsin,,,,,,,,
4,Kansas,,,,,,,,
5,North Carolina,,,,,,,,
6,Virginia,,,,,,,,
7,Xavier,,,,,,,,
8,Kentucky,,,,,,,,
9,Arizona,,,,,,,,
10,Saint Mary's,,,,,,,,
11,Florida,,,,,,,,
12,Louisville,,,,,,,,
13,Michigan St.,,,,,,,,
14,Gonzaga,,,,,,,,
15,Oregon,,,,,,,,
16,UCLA,,,,,,,,
17,Ohio St.,,,,,,,,
18,Purdue,,,,,,,,
19,San Diego St.,,,,,,,,
20,West Virginia,,,,,,,,
21,Clemson,,,,,,,,
22,Baylor,,,,,,,,
23,Iowa St.,,,,,,,,
24,Creighton,,,,,,,,
25,Wichita St.,,,,,,,,
26,Dayton,,,,,,,,
27,Cincinnati,,,,,,,,
28,Texas Tech,,,,,,,,
29,Michigan,,,,,,,,
30,Pittsburgh,,,,,,,,
31,Princeton,,,,,,,,
32,Oklahoma St.,,,,,,,,
33,Georgetown,,,,,,,,
34,Texas A&M,,,,,,,,
35,Seton Hall,,,,,,,,
36,Maryland,,,,,,,,
37,Indiana,,,,,,,,
38,Rhode Island,,,,,,,,
39,Texas,,,,,,,,
40,SMU,,,,,,,,
41,Iowa,,,,,,,,
42,Virginia Tech,,,,,,,,
43,Notre Dame,,,,,,,,
44,VCU,,,,,,,,
45,Syracuse,,,,,,,,
46,Marquette,,,,,,,,
47,Kansas St.,,,,,,,,
48,Butler,,,,,,,,
49,California,,,,,,,,
50,North Carolina St.,,,,,,,,
51,Vanderbilt,,,,,,,,
52,Miami FL,,,,,,,,
53,Oklahoma,,,,,,,,
54,Connecticut,,,,,,,,
55,Georgia,,,,,,,,
56,Florida St.,,,,,,,,
57,Utah,,,,,,,,
58,Arkansas,,,,,,,,
59,Memphis,,,,,,,,
60,Stanford,,,,,,,,
61,Davidson,,,,,,,,
62,Providence,,,,,,,,
63,Colorado,,,,,,,,
64,BYU,,,,,,,,
65,New Mexico,,,,,,,,
66,Arizona St.,,,,,,,,
67,Illinois,,,,,,,,
