trank,team_name
1,Gonzaga
2,Texas
3,Virginia
4,West Virginia
5,Baylor
6,Texas Tech
7,Florida
8,Wisconsin
9,Duke
10,Villanova
11,Michigan
12,Kansas
13,Creighton
14,Ohio St.
15,Michigan St.
16,Oregon
17,Illinois
18,Florida St.
19,Tennessee
20,Providence
21,North Carolina
22,Kentucky
23,Syracuse
24,Houston
25,Indiana
26,Arizona St.
27,Saint Louis
28,Iowa
29,Miami FL
30,Stanford
31,Louisville
32,Rutgers
33,Oklahoma
34,Connecticut
35,UCLA
36,Memphis
37,Alabama
38,Minnesota
39,Washington
40,Mississippi
41,Notre Dame
42,Northern Iowa
43,Loyola Chicago
44,Western Kentucky
45,North Carolina St.
46,Oklahoma St.
47,Richmond
48,BYU
49,Georgia Tech
50,Cincinnati
51,Purdue
52,Missouri
53,Seton Hall
54,Xavier
55,Colorado
56,North Texas
57,DePaul
58,Virginia Tech
59,LSU
60,St. John's
61,San Diego St.
62,Arkansas
63,SMU
64,Utah
65,Arizona
66,USC
67,Clemson
68,Davidson
69,Penn St.
70,Northwestern
71,UNC Greensboro
72,Maryland
73,Kansas St.
74,Butler
75,Old Dominion
76,Marquette
77,Vermont
78,Wichita St.
79,South Carolina
80,Texas A&M
81,Duquesne
82,Saint Mary's
83,Boise St.
84,New Mexico St.
85,Pittsburgh
86,Rhode Island
87,South Florida
88,California
89,Iowa St.
90,Dayton
91,TCU
92,Utah St.
93,Indiana St.
94,St. Bonaventure
95,Furman
96,South Dakota St.
97,Marshall
98,Louisiana Tech
99,Mississippi St.
100,Pepperdine
101,Boston College
102,Nebraska
103,Georgia St.
104,Georgia
105,George Mason
106,Colorado St.
107,Murray St.
108,Auburn
109,San Francisco
110,Bradley
111,Santa Clara
112,Tulsa
113,UNLV
114,Little Rock
115,VCU
116,UAB
117,Wyoming
118,UTSA
119,Pacific
120,Ohio
121,Missouri St.
122,Georgetown
123,Abilene Christian
124,Massachusetts
125,Nevada
126,UTEP
127,Texas St.
128,Wake Forest
129,San Diego
130,Bowling Green
131,La Salle
132,Fordham
133,Drake
134,Vanderbilt
135,Stephen F. Austin
136,Oregon St.
137,Saint Joseph's
138,UCF
139,Austin Peay
140,Loyola Marymount
141,Eastern Michigan
142,Buffalo
143,Wright St.
144,UC Irvine
145,Winthrop
146,Siena
147,East Carolina
148,Belmont
149,Washington St.
150,Ball St.
151,Monmouth
152,Montana
153,Miami OH
154,FIU
155,Eastern Illinois
156,Eastern Washington
157,Valparaiso
158,UMBC
159,Florida Atlantic
160,Toledo
161,Western Carolina
162,Charlotte
163,Colgate
164,Liberty
165,Fresno St.
166,College of Charleston
167,UC Riverside
168,Drexel
169,Northeastern
170,Illinois St.
171,UC Santa Barbara
172,Coastal Carolina
173,Boston University
174,Grand Canyon
175,New Hampshire
176,Eastern Kentucky
177,Illinois Chicago
178,Lafayette
179,NJIT
180,Southern Utah
181,UT Arlington
182,Saint Peter's
183,Akron
184,Southern Miss
185,Northern Kentucky
186,Canisius
187,Long Beach St.
188,Hofstra
189,Cal St. Bakersfield
190,Mercer
191,Wofford
